06.11.2023 - 15:02:18 | Change event (2): sight:4 -> disabled
06.11.2023 - 15:02:18 | Change event (2): portal:2 -> enabled
06.11.2023 - 15:02:29 | Action: activate_status -> slime
06.11.2023 - 15:02:44 | Change event (1): interactable:2 -> disabled
06.11.2023 - 15:02:44 | Change event (1): sight:3 -> disabled
06.11.2023 - 15:06:28 | Starting game
06.11.2023 - 15:06:30 | Initializing new game
06.11.2023 - 15:06:33 | Action: enter_room -> 1
06.11.2023 - 15:06:33 | Action: change_position -> e
06.11.2023 - 15:07:01 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:07:01 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:07:01 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:07:01 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:07:56 | Action: activate_status -> slime
06.11.2023 - 15:09:48 | Change event (1): interactable:2 -> disabled
06.11.2023 - 15:09:48 | Change event (1): sight:3 -> disabled
06.11.2023 - 15:17:27 | Starting game
06.11.2023 - 15:17:42 | Starting game
06.11.2023 - 15:17:44 | Initializing new game
06.11.2023 - 15:17:46 | Action: enter_room -> 1
06.11.2023 - 15:17:46 | Action: change_position -> e
06.11.2023 - 15:17:58 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:17:58 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:17:58 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:17:58 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:18:19 | Action: activate_status -> slime
06.11.2023 - 15:27:57 | Starting game
06.11.2023 - 15:27:57 | Initializing new game
06.11.2023 - 15:27:59 | Action: enter_room -> 1
06.11.2023 - 15:27:59 | Action: change_position -> e
06.11.2023 - 15:49:11 | Starting game
06.11.2023 - 15:49:12 | Initializing new game
06.11.2023 - 15:49:14 | Action: enter_room -> 1
06.11.2023 - 15:49:14 | Action: change_position -> e
06.11.2023 - 15:49:32 | Starting game
06.11.2023 - 15:49:32 | Initializing new game
06.11.2023 - 15:49:34 | Action: enter_room -> 1
06.11.2023 - 15:49:34 | Action: change_position -> e
06.11.2023 - 15:49:45 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:49:45 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:49:45 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:49:45 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:49:45 | Action: activate_status -> slime
06.11.2023 - 15:49:48 | Action: activate_status -> slime
06.11.2023 - 15:49:51 | Action: activate_status -> slime
06.11.2023 - 15:49:57 | Action: activate_status -> slime
06.11.2023 - 15:50:22 | Change event (1): interactable:3 -> disabled
06.11.2023 - 15:50:22 | Change event (2): sight:5 -> enabled
06.11.2023 - 15:50:22 | Change event (2): sight:4 -> disabled
06.11.2023 - 15:50:22 | Change event (2): portal:2 -> enabled
06.11.2023 - 15:50:51 | Starting game
06.11.2023 - 15:50:52 | Initializing new game
06.11.2023 - 15:50:53 | Action: enter_room -> 1
06.11.2023 - 15:50:53 | Action: change_position -> e
06.11.2023 - 15:51:01 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:51:01 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:51:01 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:51:01 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:51:01 | Action: activate_status -> slime
06.11.2023 - 15:52:06 | Starting game
06.11.2023 - 15:52:07 | Initializing new game
06.11.2023 - 15:52:08 | Action: enter_room -> 1
06.11.2023 - 15:52:08 | Action: change_position -> e
06.11.2023 - 15:52:12 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:52:12 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:52:12 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:52:12 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:52:12 | Action: activate_status -> slime
06.11.2023 - 15:52:15 | Action: activate_status -> slime
06.11.2023 - 15:52:17 | Action: activate_status -> slime
06.11.2023 - 15:52:30 | Change event (1): interactable:2 -> disabled
06.11.2023 - 15:52:30 | Change event (1): sight:3 -> disabled
06.11.2023 - 15:53:52 | Action: activate_status -> slime
06.11.2023 - 15:54:36 | Starting game
06.11.2023 - 15:54:38 | Initializing new game
06.11.2023 - 15:54:40 | Action: enter_room -> 1
06.11.2023 - 15:54:40 | Action: change_position -> e
06.11.2023 - 15:54:49 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:54:49 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:54:49 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:54:49 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:54:49 | Action: activate_status -> slime
06.11.2023 - 15:55:42 | Starting game
06.11.2023 - 15:55:44 | Initializing new game
06.11.2023 - 15:55:46 | Action: enter_room -> 1
06.11.2023 - 15:55:46 | Action: change_position -> e
06.11.2023 - 15:56:07 | Starting game
06.11.2023 - 15:56:09 | Initializing new game
06.11.2023 - 15:56:11 | Action: enter_room -> 1
06.11.2023 - 15:56:11 | Action: change_position -> e
06.11.2023 - 15:56:55 | Change event (1): interactable:1 -> disabled
06.11.2023 - 15:56:55 | Change event (2): sight:2 -> enabled
06.11.2023 - 15:56:55 | Change event (2): sight:1 -> disabled
06.11.2023 - 15:56:55 | Change event (2): portal:1 -> enabled
06.11.2023 - 15:56:55 | Action: activate_status -> slime
06.11.2023 - 16:01:18 | Action: activate_status -> slime
06.11.2023 - 16:01:21 | Action: activate_status -> slime
06.11.2023 - 16:01:39 | Starting game
06.11.2023 - 16:01:40 | Initializing new game
06.11.2023 - 16:01:43 | Action: enter_room -> 1
06.11.2023 - 16:01:43 | Action: change_position -> e
06.11.2023 - 16:02:51 | Change event (1): interactable:1 -> disabled
06.11.2023 - 16:02:51 | Change event (2): sight:2 -> enabled
06.11.2023 - 16:02:51 | Change event (2): sight:1 -> disabled
06.11.2023 - 16:02:51 | Change event (2): portal:1 -> enabled
06.11.2023 - 16:02:51 | Action: activate_status -> slime
06.11.2023 - 16:03:03 | Change event (1): interactable:2 -> disabled
06.11.2023 - 16:03:03 | Change event (1): sight:3 -> disabled
06.11.2023 - 16:08:42 | Starting game
06.11.2023 - 16:08:44 | Initializing new game
06.11.2023 - 16:08:46 | Action: enter_room -> 1
06.11.2023 - 16:08:46 | Action: change_position -> e
06.11.2023 - 16:13:08 | Starting game
06.11.2023 - 16:13:09 | Initializing new game
06.11.2023 - 16:13:11 | Action: enter_room -> 1
06.11.2023 - 16:13:11 | Action: change_position -> e
06.11.2023 - 16:13:31 | Change event (1): interactable:1 -> disabled
06.11.2023 - 16:13:31 | Change event (2): sight:2 -> enabled
06.11.2023 - 16:13:31 | Change event (2): sight:1 -> disabled
06.11.2023 - 16:13:31 | Change event (2): portal:1 -> enabled
06.11.2023 - 16:13:31 | Action: activate_status -> slime
06.11.2023 - 16:13:35 | Action: activate_status -> slime
06.11.2023 - 16:13:37 | Action: activate_status -> slime
06.11.2023 - 16:13:40 | Action: activate_status -> slime
06.11.2023 - 16:13:52 | Change event (1): interactable:3 -> disabled
06.11.2023 - 16:13:52 | Change event (2): sight:5 -> enabled
06.11.2023 - 16:13:52 | Change event (2): sight:4 -> disabled
06.11.2023 - 16:13:52 | Change event (2): portal:2 -> enabled
06.11.2023 - 16:14:03 | Action: activate_status -> slime
06.11.2023 - 16:14:16 | Change event (1): interactable:2 -> disabled
06.11.2023 - 16:14:16 | Change event (1): sight:3 -> disabled
06.11.2023 - 16:15:07 | Action: activate_status -> slime
06.11.2023 - 16:16:01 | Starting game
06.11.2023 - 16:16:03 | Initializing new game
06.11.2023 - 16:16:05 | Action: enter_room -> 1
06.11.2023 - 16:16:05 | Action: change_position -> e
06.11.2023 - 16:16:19 | Change event (1): interactable:1 -> disabled
06.11.2023 - 16:16:19 | Change event (2): sight:2 -> enabled
06.11.2023 - 16:16:19 | Change event (2): sight:1 -> disabled
06.11.2023 - 16:16:19 | Change event (2): portal:1 -> enabled
06.11.2023 - 16:16:19 | Action: activate_status -> slime
06.11.2023 - 16:18:10 | Starting game
06.11.2023 - 16:18:10 | Initializing new game
06.11.2023 - 16:18:12 | Action: enter_room -> 1
06.11.2023 - 16:18:12 | Action: change_position -> e
06.11.2023 - 16:18:29 | Change event (1): interactable:1 -> disabled
06.11.2023 - 16:18:29 | Change event (2): sight:2 -> enabled
06.11.2023 - 16:18:29 | Change event (2): sight:1 -> disabled
06.11.2023 - 16:18:29 | Change event (2): portal:1 -> enabled
06.11.2023 - 16:18:29 | Action: activate_status -> slime
06.11.2023 - 16:19:13 | Action: activate_status -> slime
06.11.2023 - 16:19:15 | Action: activate_status -> slime
06.11.2023 - 16:20:02 | Change event (1): interactable:2 -> disabled
06.11.2023 - 16:20:02 | Change event (1): sight:3 -> disabled
06.11.2023 - 16:24:15 | Starting game
06.11.2023 - 16:24:17 | Initializing new game
06.11.2023 - 16:24:19 | Action: enter_room -> 1
06.11.2023 - 16:24:19 | Action: change_position -> e
06.11.2023 - 16:24:49 | Change event (1): interactable:1 -> disabled
06.11.2023 - 16:24:49 | Change event (2): sight:2 -> enabled
06.11.2023 - 16:24:49 | Change event (2): sight:1 -> disabled
06.11.2023 - 16:24:49 | Change event (2): portal:1 -> enabled
06.11.2023 - 16:24:49 | Action: activate_status -> slime
06.11.2023 - 16:47:34 | Action: activate_status -> slime
06.11.2023 - 16:47:46 | Change event (1): interactable:3 -> disabled
06.11.2023 - 16:47:46 | Change event (2): sight:5 -> enabled
06.11.2023 - 16:47:46 | Change event (2): sight:4 -> disabled
06.11.2023 - 16:47:46 | Change event (2): portal:2 -> enabled
06.11.2023 - 16:48:30 | Action: activate_status -> slime
06.11.2023 - 16:48:42 | Change event (1): interactable:2 -> disabled
06.11.2023 - 16:48:42 | Change event (1): sight:3 -> disabled
06.11.2023 - 17:03:56 | Action: activate_status -> slime
06.11.2023 - 17:04:18 | Initializing new game
06.11.2023 - 17:04:20 | Action: enter_room -> 1
06.11.2023 - 17:04:20 | Action: change_position -> e
06.11.2023 - 17:04:53 | Change event (1): interactable:1 -> disabled
06.11.2023 - 17:04:53 | Change event (2): sight:2 -> enabled
06.11.2023 - 17:04:53 | Change event (2): sight:1 -> disabled
06.11.2023 - 17:04:53 | Change event (2): portal:1 -> enabled
06.11.2023 - 17:04:53 | Action: activate_status -> slime
06.11.2023 - 17:06:11 | Change event (1): interactable:2 -> disabled
06.11.2023 - 17:06:11 | Change event (1): sight:3 -> disabled
06.11.2023 - 17:06:26 | Action: activate_status -> slime
06.11.2023 - 17:06:49 | Change event (1): interactable:3 -> disabled
06.11.2023 - 17:06:49 | Change event (2): sight:5 -> enabled
06.11.2023 - 17:06:49 | Change event (2): sight:4 -> disabled
06.11.2023 - 17:06:49 | Change event (2): portal:2 -> enabled
06.11.2023 - 17:08:55 | Starting game
06.11.2023 - 17:08:57 | Initializing new game
06.11.2023 - 17:08:59 | Action: enter_room -> 1
06.11.2023 - 17:08:59 | Action: change_position -> e
06.11.2023 - 17:09:21 | Change event (1): interactable:1 -> disabled
06.11.2023 - 17:09:21 | Change event (2): sight:2 -> enabled
06.11.2023 - 17:09:21 | Change event (2): sight:1 -> disabled
06.11.2023 - 17:09:21 | Change event (2): portal:1 -> enabled
06.11.2023 - 17:09:21 | Action: activate_status -> slime
06.11.2023 - 17:09:29 | Change event (1): interactable:2 -> disabled
06.11.2023 - 17:09:29 | Change event (1): sight:3 -> disabled
06.11.2023 - 17:09:42 | Action: activate_status -> slime
06.11.2023 - 17:09:48 | Change event (1): interactable:3 -> disabled
06.11.2023 - 17:09:48 | Change event (2): sight:5 -> enabled
06.11.2023 - 17:09:48 | Change event (2): sight:4 -> disabled
06.11.2023 - 17:09:48 | Change event (2): portal:2 -> enabled
06.11.2023 - 17:29:47 | Starting game
06.11.2023 - 17:29:48 | Initializing new game
06.11.2023 - 17:29:50 | Action: enter_room -> 1
06.11.2023 - 17:29:50 | Action: change_position -> e
06.11.2023 - 17:34:24 | Starting game
06.11.2023 - 17:34:24 | Initializing new game
06.11.2023 - 17:34:26 | Action: enter_room -> 1
06.11.2023 - 17:34:26 | Action: change_position -> e
06.11.2023 - 17:34:45 | Change event (1): interactable:1 -> disabled
06.11.2023 - 17:34:45 | Change event (2): sight:2 -> enabled
